Bransch;Region;År;Värde;Hex;RGB
"energiförsörjning; miljöverksamhet";Borlänge;2015;351;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Borlänge;2015;2124;#eb12c8;rgb(235, 18, 200)
handel;Borlänge;2015;3914;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Borlänge;2015;1661;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Borlänge;2015;909;#faff01;rgb(250, 255, 1)
information och kommunikation;Borlänge;2015;823;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Borlänge;2015;175;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Borlänge;2015;361;#ec9eed;rgb(236, 158, 237)
företagstjänster;Borlänge;2015;2658;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Borlänge;2015;2795;#fcac34;rgb(252, 172, 52)
utbildning ;Borlänge;2015;2552;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Borlänge;2015;3788;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Borlänge;2015;912;#FF8080;rgb(255, 128, 128)
okänd verksamhet;Falun;2015;318;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Falun;2015;655;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Falun;2015;2541;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Falun;2015;212;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Falun;2015;1734;#eb12c8;rgb(235, 18, 200)
handel;Falun;2015;2417;#f1fa86;rgb(241, 250, 134)
transport och magasinering;Falun;2015;737;#366631;rgb(54, 102, 49)
hotell- och restaurangverksamhet;Falun;2015;743;#faff01;rgb(250, 255, 1)
information och kommunikation;Falun;2015;551;#000080;rgb(0, 0, 128)
finans- och försäkringsverksamhet;Falun;2015;369;#2f8bbf;rgb(47, 139, 191)
fastighetsverksamhet;Falun;2015;456;#ec9eed;rgb(236, 158, 237)
företagstjänster;Falun;2015;3006;#94bf69;rgb(148, 191, 105)
offentlig förvaltning och försvar;Falun;2015;2371;#fcac34;rgb(252, 172, 52)
utbildning ;Falun;2015;3148;#8f0e25;rgb(143, 14, 37)
"vård och omsorg; sociala tjänster";Falun;2015;7414;#f5370d;rgb(245, 55, 13)
kulturella och personliga tjänster m.m.;Falun;2015;1311;#FF8080;rgb(255, 128, 128)
okänd verksamhet;Mora;2015;83;#ebe2e2;rgb(235, 226, 226)
jordbruk, skogsbruk och fiske;Mora;2015;647;#87f7b4;rgb(135, 247, 180)
tillverkning och utvinning;Mora;2015;1720;#36e60a;rgb(54, 230, 10)
"energiförsörjning; miljöverksamhet";Mora;2015;66;#10d0fa;rgb(16, 208, 250)
byggverksamhet;Mora;2015;921;#eb12c8;rgb(235, 18, 200)
handel;Mora;2015;1171;#f1fa86;rgb(241, 250, 134)
